x,f(x)
0,0.7063
0.01,0.7062
0.02,0.706
0.03,0.7056
0.04,0.7051
0.05,0.7044
0.06,0.7035
0.07,0.7026
0.08,0.7014
0.09,0.7002
0.1,0.6988
0.11,0.6972
0.12,0.6956
0.13,0.6938
0.14,0.692
0.15,0.69
0.16,0.6879
0.17,0.6858
0.18,0.6836
0.19,0.6813
0.2,0.6789
0.21,0.6765
0.22,0.6741
0.23,0.6716
0.24,0.6692
0.25,0.6667
0.26,0.6642
0.27,0.6617
0.28,0.6592
0.29,0.6568
0.3,0.6544
0.31,0.6521
0.32,0.6498
0.33,0.6476
0.34,0.6454
0.35,0.6434
0.36,0.6414
0.37,0.6395
0.38,0.6378
0.39,0.6361
0.4,0.6346
0.41,0.6332
0.42,0.6319
0.43,0.6308
0.44,0.6298
0.45,0.6289
0.46,0.6282
0.47,0.6277
0.48,0.6273
0.49,0.6271
0.5,0.627
0.51,0.6271
0.52,0.6273
0.53,0.6277
0.54,0.6282
0.55,0.6289
0.56,0.6298
0.57,0.6308
0.58,0.6319
0.59,0.6332
0.6,0.6346
0.61,0.6361
0.62,0.6378
0.63,0.6395
0.64,0.6414
0.65,0.6434
0.66,0.6454
0.67,0.6476
0.68,0.6498
0.69,0.6521
0.7,0.6544
0.71,0.6568
0.72,0.6592
0.73,0.6617
0.74,0.6642
0.75,0.6667
0.76,0.6692
0.77,0.6716
0.78,0.6741
0.79,0.6765
0.8,0.6789
0.81,0.6813
0.82,0.6836
0.83,0.6858
0.84,0.6879
0.85,0.69
0.86,0.692
0.87,0.6938
0.88,0.6956
0.89,0.6972
0.9,0.6988
0.91,0.7002
0.92,0.7014
0.93,0.7026
0.94,0.7035
0.95,0.7044
0.96,0.7051
0.97,0.7056
0.98,0.706
0.99,0.7062
1,0.7063
