x,f(x)
0,0.4342
0.01,0.4342
0.02,0.4342
0.03,0.4342
0.04,0.4342
0.05,0.4342
0.06,0.4342
0.07,0.4342
0.08,0.4342
0.09,0.4342
0.1,0.4342
0.11,0.4342
0.12,0.4342
0.13,0.4342
0.14,0.4342
0.15,0.4342
0.16,0.4342
0.17,0.4342
0.18,0.4342
0.19,0.4342
0.2,0.4342
0.21,0.4342
0.22,0.4342
0.23,0.4342
0.24,0.4342
0.25,0.4342
0.26,0.4342
0.27,0.4342
0.28,0.4342
0.29,0.4342
0.3,0.4342
0.31,0.4342
0.32,0.4342
0.33,0.4342
0.34,0.4342
0.35,0.4342
0.36,0.4342
0.37,0.4342
0.38,0.4342
0.39,0.4342
0.4,0.4342
0.41,0.4342
0.42,0.4342
0.43,0.4342
0.44,0.4342
0.45,0.4342
0.46,0.4342
0.47,0.4342
0.48,0.4342
0.49,0.4342
0.5,0.4342
0.51,0.4342
0.52,0.4342
0.53,0.4342
0.54,0.4342
0.55,0.4342
0.56,0.4342
0.57,0.4342
0.58,0.4342
0.59,0.4342
0.6,0.4342
0.61,0.4342
0.62,0.4342
0.63,0.4342
0.64,0.4342
0.65,0.4342
0.66,0.4342
0.67,0.4342
0.68,0.4342
0.69,0.4342
0.7,0.4342
0.71,0.4342
0.72,0.4342
0.73,0.4342
0.74,0.4342
0.75,0.4342
0.76,0.4342
0.77,0.4342
0.78,0.4342
0.79,0.4342
0.8,0.4342
0.81,0.4342
0.82,0.4342
0.83,0.4342
0.84,0.4342
0.85,0.4342
0.86,0.4342
0.87,0.4342
0.88,0.4342
0.89,0.4342
0.9,0.4342
0.91,0.4342
0.92,0.4342
0.93,0.4342
0.94,0.4342
0.95,0.4342
0.96,0.4342
0.97,0.4342
0.98,0.4342
0.99,0.4342
1,0.4342
